Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
co,especializacion en propiedad intelectual,Propiedad intelectual,,,,,260,0,1.40,0.75,168000,Informational,"Video, Adwords Bottom, Related Searches","0.53,1.00,0.81,0.81,0.66,0.81,0.66,1.00,0.81,0.81,0.81,0.66",,,
co,diplomado propiedad intelectual,Propiedad intelectual,,,,,110,0,0.42,0.51,1780000,Informational,"Video, Adwords Bottom, Related Searches","0.41,1.00,0.65,1.00,0.82,0.82,0.53,0.82,0.53,0.65,0.53,0.41",,,
co,ley de propiedad intelectual,Propiedad intelectual,,,,,110,30,0.00,0.00,51100000,Informational,"Related Searches, Video, Video Carousel, People Also Ask","0.01,0.01,1.00,0.24,0.16,0.12,0.01,0.02,0.01,0.02,0.05,0.01",90,,
co,ley de propiedad intelectual colombia,Propiedad intelectual,,,,,110,23,0.00,0.00,10600000,Informational,"Related Searches, AI Overview, Video, Video Carousel","0.29,0.53,0.82,1.00,0.82,0.82,0.41,0.41,0.53,0.65,0.53,0.41",90,,
co,maestria en propiedad intelectual,Propiedad intelectual,,,,,110,15,2.48,0.69,1100000,Informational,"Adwords Bottom, Related Searches, Site Links, Video","0.64,1.00,0.64,0.79,0.79,1.00,0.79,1.00,0.50,1.00,0.64,0.50",20,,
co,proteccion de la propiedad intelectual,Propiedad intelectual,,,,,110,21,0.00,0.00,49000000,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.14,0.10,0.43,0.33,0.43,0.67,0.14,0.81,1.00,0.67,1.00,0.81",90,,
co,derechos de propiedad intelectual,Propiedad intelectual,,,,,90,31,0.32,0.03,81800000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Knowledge Panel","0.50,0.50,0.79,1.00,0.79,0.79,0.50,0.50,0.79,0.50,0.64,0.36",20,,
co,tipos de propiedad intelectual,Propiedad intelectual,,,,,90,19,0.00,0.01,58000000,Informational,"AI Overview, Image Pack, Site Links, Video, Video Carousel, Related Searches","0.02,0.02,0.36,0.36,1.00,0.19,0.02,0.02,0.08,0.02,0.15,0.08",20,,
co,delitos contra la propiedad intelectual,Propiedad intelectual,,,,,70,16,0.00,0.33,4100000,Informational,"Image Pack, Video, People Also Ask, Related Searches, AI Overview","0.02,0.02,0.02,0.29,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02",90,,
co,derecho propiedad intelectual,Propiedad intelectual,,,,,70,27,0.76,0.16,54600000,Informational,"Site Links, Video, Related Searches, AI Overview","0.19,0.04,0.12,0.42,0.04,0.08,0.08,0.42,1.00,0.35,0.08,0.19",20,,
co,derechos propiedad intelectual,Propiedad intelectual,,,,,70,24,0.76,0.16,79600000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.02,0.10,0.02,1.00,0.04,0.02,0.02,0.23,0.29,0.02,0.02,0.02",20,,
co,que es la propiedad intelectual en colombia,Propiedad intelectual,,,,,70,17,0.00,0.00,22400000,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.13,0.10,0.03,0.54,0.03,0.03,0.03,0.05,0.08,1.00,0.10,0.03",90,,
co,derecho de propiedad intelectual,Propiedad intelectual,,,,,50,28,0.28,0.11,59400000,Informational,"Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask","1.00,0.04,0.02,0.02,0.04,0.02,0.02,0.08,0.04,0.02,0.02,0.15",20,,
co,diferencia entre propiedad intelectual y propiedad industrial,Propiedad intelectual,,,,,50,19,0.00,0.00,29300000,Informational,"Video, Related Searches, AI Overview","1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.45,0.09,0.09,0.36",90,,
co,oficina de propiedad intelectual de la unión europea,Propiedad intelectual,,,,,50,29,0.00,0.33,9120000,Navigational,"Related Searches, Knowledge Panel, Site Links, Video, Video Carousel, People Also Ask","0.06,0.03,0.03,0.03,0.03,1.00,0.06,0.03,0.03,0.22,0.16,0.06",20,,
co,propiedad intelectual y propiedad industrial,Propiedad intelectual,,,,,50,26,0.00,0.03,29800000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.03,0.03,0.03,0.03,0.03,0.08,0.13,0.13,0.03,1.00,0.03,0.13",20,,
co,que es propiedad intelectual en derecho,Propiedad intelectual,,,,,50,28,0.00,0.33,79000000,Informational,"Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask","0.08,0.04,0.12,0.12,0.15,0.04,0.27,0.04,0.04,1.00,0.04,0.19",20,,
co,dia de la propiedad intelectual,Propiedad intelectual,,,,,40,20,0.00,0.33,39200000,Informational,"Related Searches, Instant Answer, Knowledge Panel, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.12,0.04,0.35,0.08,1.00,0.04,0.04,0.04,0.08,0.04,0.08,0.15",20,,
co,dia mundial de la propiedad intelectual,Propiedad intelectual,,,,,40,23,0.00,0.00,5980000,Informational,"Related Searches, Instant Answer, Knowledge Panel, Site Links, Video, Image, Video Carousel","0.18,0.82,0.09,0.09,1.00,0.09,0.09,0.45,0.09,0.82,0.09,0.09",20,,
co,donde se registra la propiedad intelectual en colombia,Propiedad intelectual,,,,,40,0,0.00,0.08,18100000,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.11,0.11,0.78,0.56,0.33,1.00,0.78,0.22,0.22,0.11,0.78,0.11",,,
co,día mundial de la propiedad intelectual,Propiedad intelectual,,,,,40,23,0.00,0.33,17000000,Navigational,"Instant Answer, Knowledge Panel, Image Pack, Video, Image, People Also Ask, Related Searches, Short Videos, Site Links, Video Carousel","0.09,0.18,0.09,0.09,1.00,0.45,0.82,0.18,0.45,0.09,0.82,0.09",20,,
co,empleo abogado propiedad intelectual,Propiedad intelectual,,,,,40,17,0.00,0.33,2970000,Commercial,"Related Searches, Video, Jobs Search","0.06,1.00,0.06,0.06,0.24,0.06,0.41,0.06,0.12,0.41,0.06,0.06",90,,
co,gomez pinzon propiedad intelectual sas,Propiedad intelectual,,,,,40,10,0.00,0.00,19600,"Informational, Commercial","Video, Related Searches","0.56,0.33,0.44,0.00,0.78,0.44,1.00,0.22,0.22,0.56,0.11,0.00",90,,
co,ley propiedad intelectual,Propiedad intelectual,,,,,40,23,0.00,0.33,66000000,Informational,"Related Searches, AI Overview, Video, Video Carousel, People Also Ask","0.06,0.18,0.06,0.41,0.29,0.12,0.06,0.06,0.12,1.00,0.06,0.12",90,,
co,que significa propiedad intelectual,Propiedad intelectual,,,,,40,0,0.00,0.33,,,,"0.11,1.00,0.44,0.22,0.11,0.11,0.44,0.11,0.11,0.56,1.00,0.56",,,
co,revista iberoamericana de propiedad intelectual,Propiedad intelectual,,,,,40,0,0.00,0.33,,,,"0.78,0.11,0.11,0.33,0.00,1.00,0.11,0.44,0.33,0.11,0.33,1.00",,,
co,acta de propiedad intelectual,Propiedad intelectual,,,,,30,15,0.00,0.00,3510000,"Informational, Commercial","Video, People Also Ask","0.14,0.71,0.43,0.14,0.14,0.14,0.14,1.00,0.57,0.43,0.14,0.14",90,,
co,casos de propiedad intelectual en colombia,Propiedad intelectual,,,,,30,14,0.00,0.33,11900000,Informational,"People Also Ask, Related Searches, AI Overview, Video, Video Carousel","0.11,0.11,1.00,0.11,0.22,0.11,1.00,0.11,0.33,0.22,0.33,0.11",90,,
co,clausula de propiedad intelectual,Propiedad intelectual,,,,,30,14,0.00,0.00,527000,Informational,"AI Overview, Image Pack, Video, People Also Ask, Related Searches, See Results About","0.40,0.40,1.00,0.20,1.00,0.60,0.40,1.00,0.20,0.20,0.40,0.60",90,,
co,clausula de propiedad intelectual en un contrato de servicios,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.57,0.29,0.14,0.14,0.14,1.00,0.14,1.00,0.14,0.14,0.14,0.43",,,
co,codigo de comercio propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.14,1.00,0.14,0.14,1.00,0.29,0.00,0.14,0.14,0.43,0.14,0.71",,,
co,concepto de propiedad intelectual,Propiedad intelectual,,,,,30,33,0.00,0.00,26700000,Informational,"Related Searches, AI Overview, Site Links","0.11,0.78,1.00,0.22,0.33,0.11,0.56,0.22,0.11,0.11,0.11,0.44",20,,
co,cómo afecta la propiedad intelectual en los medios digitales,Propiedad intelectual,,,,,30,15,0.00,0.33,16400000,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.22,0.00,0.56,0.22,0.11,0.11,0.22,0.11,0.78,1.00,0.11,0.11",90,,
co,de la propiedad intelectual,Propiedad intelectual,,,,,30,36,0.00,0.33,77800000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.00,0.14,1.00,0.43,1.00,0.14,0.14,0.14,1.00,0.14,0.14,0.14",20,,
co,delito propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.22,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.78,0.11,0.33,1.00",,,
co,delitos de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.14,0.14,0.14,1.00,0.14,0.29,0.00,1.00,0.14,0.14,0.14,1.00",,,
co,derechos de propiedad intelectual e industrial,Propiedad intelectual,,,,,30,21,0.00,0.33,22500000,Informational,"Related Searches, AI Overview, Video, Video Carousel, People Also Ask","0.53,0.06,0.06,0.00,0.06,0.06,0.00,0.06,0.06,1.00,0.06,0.29",90,,
co,derechos de propiedad intelectual en colombia,Propiedad intelectual,,,,,30,21,0.00,0.00,16800000,Informational,"Related Searches, AI Overview, Site Links, Video, People Also Ask","1.00,0.71,0.43,1.00,0.14,0.14,1.00,0.14,0.14,0.29,0.71,0.14",20,,
co,diferencia entre propiedad industrial y propiedad intelectual,Propiedad intelectual,,,,,30,16,0.00,0.00,28200000,Informational,"AI Overview, Video, Video Carousel, Related Searches","0.11,0.11,0.11,0.11,1.00,0.11,1.00,0.56,0.11,0.78,0.11,0.56",90,,
co,diferencia entre propiedad intelectual y derechos de autor,Propiedad intelectual,,,,,30,0,0.00,0.33,41000000,"Informational, Transactional","Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview","0.44,0.11,0.56,0.44,0.11,0.11,0.11,0.22,0.56,0.11,1.00,0.11",,,
co,diferencia entre propiedad intelectual y propiedad industrial en colombia,Propiedad intelectual,,,,,30,13,0.00,0.00,4390000,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.14,0.43,0.14,0.14,0.14,1.00,0.57,0.00,0.14,0.14,0.14,0.14",20,,
co,ejemplos de propiedad intelectual en colombia,Propiedad intelectual,,,,,30,15,0.00,0.00,1600000,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Video","0.00,0.78,0.11,0.11,0.11,0.22,0.56,1.00,0.11,0.11,0.11,0.78",90,,
co,especializacion en propiedad intelectual colombia,Propiedad intelectual,,,,,30,13,2.51,0.93,589000,Commercial,"Video, Adwords Top, Adwords Bottom, Related Searches","0.11,1.00,0.22,0.11,0.56,0.11,1.00,0.11,0.11,0.11,0.22,0.11",90,,
co,historia de la propiedad intelectual,Propiedad intelectual,,,,,30,20,0.00,0.33,40500000,"Informational, Transactional","Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.22,0.78,0.44,0.22,0.22,0.11,0.22,0.11,0.78,0.11,1.00,0.11",90,,
co,infracción de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.11,0.22,0.11,0.22,0.11,1.00,0.56,0.44,0.11,0.11,0.44,1.00",,,
co,la propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.01,,,,"0.06,0.24,0.29,1.00,0.06,0.06,0.06,0.29,0.06,0.06,0.06,0.06",,,
co,ley de derechos de autor y propiedad intelectual en colombia,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.11,0.11,0.11,1.00,0.11,0.78,0.11,0.11,0.00,0.11,0.78,0.11",,,
co,leyes que protegen la propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.00,,,,"0.11,0.00,1.00,0.44,0.00,0.00,0.11,0.00,0.56,0.11,1.00,0.00",,,
co,los derechos de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.11,0.22,0.11,1.00,0.22,0.78,0.56,0.11,0.11,0.11,0.11,1.00",,,
co,maestria propiedad intelectual uniandes,Propiedad intelectual,,,,,30,0,1.69,0.54,,,,"0.11,0.11,0.11,1.00,0.11,0.56,0.11,0.11,0.56,0.22,0.11,0.56",,,
co,normativa propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.71,0.14,0.14,0.57,0.14,1.00,0.57,0.29,0.43,0.14,0.29,0.14",,,
co,noticias propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.33,1.00,1.00,0.11,0.11,0.11,0.11,0.78,0.11,0.11,0.11,0.22",,,
co,oficina de propiedad intelectual,Propiedad intelectual,,,,,30,49,0.21,0.31,35700000,Informational,"Related Searches, Local Pack, Site Links, Video, Video Carousel, People Also Ask","0.11,1.00,0.56,0.11,0.11,0.11,1.00,0.22,0.33,0.11,0.44,0.44",20,,
co,organización mundial de la propiedad intelectual ompi,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.56,0.11,0.22,0.33,0.11,0.11,0.33,0.33,0.11,0.11,1.00,0.11",,,
co,patentes y propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.03,,,,"0.11,0.11,0.56,1.00,0.44,0.33,0.22,0.22,0.11,0.11,0.22,0.11",,,
co,propiedad intelectual codigo civil,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"1.00,0.14,0.14,0.14,0.57,0.14,0.14,1.00,0.43,0.71,0.14,0.14",,,
co,propiedad intelectual codigo de comercio,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.14,0.14,1.00,1.00,1.00,0.14,0.29,0.43,0.14,0.71,0.14,0.14",,,
co,propiedad intelectual de una empresa,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.11,0.11,0.33,1.00,0.11,0.33,0.11,0.11,0.44,0.11,0.33,0.44",,,
co,propiedad intelectual e industrial,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.27,0.09,0.09,0.09,0.09,0.09,0.09,0.45,0.09,1.00,0.09,0.27",,,
co,propiedad intelectual indigena,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"1.00,0.11,0.00,0.56,1.00,0.11,0.11,0.11,0.00,0.11,0.00,0.78",,,
co,propiedad intelectual sic,Propiedad intelectual,,,,,30,0,0.00,0.08,,,,"0.11,0.33,0.78,0.22,0.11,0.11,0.22,0.22,1.00,0.44,0.44,0.33",,,
co,propiedad intelectual unal,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.11,0.22,0.11,0.78,0.11,0.11,0.33,0.22,0.11,0.22,1.00,0.11",,,
co,proteccion de la propiedad intelectual en colombia,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.22,0.11,0.78,0.78,0.11",,,
co,que es el derecho de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.18,0.64,0.09,0.09,0.09,0.18,0.09,0.09,1.00,0.09,0.09,0.09",,,
co,que es la ley de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.56,0.00,0.56,0.11,0.11,0.11,0.11,1.00,0.22,0.11,0.22,0.22",,,
co,regalias propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.00,0.11,0.56,0.56,0.00,0.11,0.11,0.22,0.11,1.00,0.11,0.56",,,
co,registro de marcas y propiedad intelectual,Propiedad intelectual,,,,,30,0,0.27,0.53,8630000,"Informational, Transactional","Video, Adwords Bottom, Video Carousel, Related Searches","1.00,0.11,0.11,0.11,0.44,0.22,0.11,0.11,0.11,0.11,0.11,0.11",,,
co,registro propiedad intelectual,Propiedad intelectual,,,,,30,16,0.19,0.11,45100000,Informational,"Video, Video Carousel, People Also Ask, Related Searches","1.00,1.00,0.11,0.11,1.00,0.22,0.11,0.11,0.22,0.11,0.11,0.33",90,,
co,respetar la propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.00,0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.33,0.11,0.11,0.33",,,
co,robo de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.02,,,,"0.57,0.29,0.14,0.14,0.14,0.14,0.71,1.00,0.14,0.71,0.43,0.29",,,
co,sistema de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.13,,,,"0.22,0.56,0.22,0.11,0.11,0.33,1.00,0.11,0.56,0.11,0.11,0.11",,,
co,texto refundido de la ley de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"0.11,0.11,0.11,0.11,0.44,0.33,1.00,0.11,0.11,0.11,0.11,0.78",,,
co,trabajo abogado propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.01,,,,"0.11,0.33,0.56,0.11,0.11,0.22,0.22,0.11,0.78,0.44,1.00,0.11",,,
co,tratados de propiedad intelectual,Propiedad intelectual,,,,,30,0,0.00,0.33,,,,"1.00,0.00,0.11,1.00,0.11,0.11,0.00,0.00,0.11,0.44,0.44,0.11",,,
co,abogado especialista en propiedad intelectual,Propiedad intelectual,,,,,20,0,0.39,0.38,,,,"0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.33,0.22,0.33,0.11",,,
co,abogado junior propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.00,,,,"0.29,0.29,0.43,0.43,0.14,1.00,0.14,0.14,0.14,0.14,0.29,0.14",,,
co,abogado propiedad intelectual vacante,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"0.11,0.44,0.11,0.11,1.00,0.11,0.44,0.11,0.11,0.11,0.11,0.11",,,
co,abogados propiedad intelectual colombia,Propiedad intelectual,,,,,20,0,0.50,0.78,,,,"1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.80,0.20,0.20",,,
co,abogados propiedad intelectual medellin,Propiedad intelectual,,,,,20,0,0.00,0.86,,,,"0.00,0.11,0.11,0.56,0.00,1.00,0.11,0.11,0.11,0.22,0.11,0.44",,,
co,activos de propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"1.00,1.00,0.33,0.33,0.33,0.33,1.00,0.67,0.33,0.33,0.33,0.33",,,
co,activos intangibles propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.00,,,,"0.56,0.00,0.11,0.11,0.11,0.11,0.00,0.00,0.44,1.00,0.78,0.00",,,
co,acuerdo de confidencialidad propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"0.14,0.29,0.14,0.29,0.14,1.00,0.14,0.00,0.14,0.29,0.14,0.14",,,
co,adpic propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"0.00,1.00,0.00,0.43,0.14,0.00,0.14,0.00,0.00,0.14,0.71,0.71",,,
co,amaya propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"0.20,0.20,0.20,0.20,0.20,0.80,0.20,1.00,0.20,0.20,0.20,1.00",,,
co,arrendamiento de propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.02,,,,"0.20,0.40,0.60,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.20",,,
co,asesoria propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.00,,,,"0.33,0.00,0.11,0.11,0.11,1.00,0.22,0.00,0.22,1.00,0.11,0.00",,,
co,asociacion colombiana de propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"1.00,0.60,0.20,0.20,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.20",,,
co,aula de propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.14,,,,"1.00,0.25,0.50,0.75,0.50,0.25,0.25,0.50,0.25,0.50,0.25,0.25",,,
co,bienes de propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.07,,,,"0.11,0.11,1.00,0.00,0.11,0.00,0.22,0.00,0.00,0.11,0.33,0.11",,,
co,caracteristicas de la propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"0.11,0.11,0.22,0.11,0.33,0.44,0.11,0.11,0.11,0.11,1.00,0.11",,,
co,caracteristicas propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.33,,,,"0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.14,0.00,1.00,0.14",,,
co,casos de demanda por propiedad intelectual,Propiedad intelectual,,,,,20,0,0.00,0.07,,,,"0.20,0.20,0.20,0.60,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.60",,,
